teloss,teacc,epoch,num_neurons,learning_rate
1.14452239662219,65.53999999999999,1.0,256.0,1e-05
0.8288132134516528,70.30999999999999,2.0,256.0,1e-05
0.7242124596978449,73.66,3.0,256.0,1e-05
0.6627838361035486,76.44999999999999,4.0,256.0,1e-05
0.6242588050426192,78.02,5.0,256.0,1e-05
0.5949135827031106,79.16,6.0,256.0,1e-05
0.5727969007507251,80.08,7.0,256.0,1e-05
0.5575992592201111,80.69,8.0,256.0,1e-05
0.5426509780868604,81.17999999999999,9.0,256.0,1e-05
0.5282767727306694,81.69999999999999,10.0,256.0,1e-05
0.5196698478832367,82.0,11.0,256.0,1e-05
0.5117813280433606,82.19,12.0,256.0,1e-05
0.5036460981247531,82.57,13.0,256.0,1e-05
0.4977287604550647,82.53,14.0,256.0,1e-05
0.490458550157061,82.77,15.0,256.0,1e-05
0.4848313492005038,83.1,16.0,256.0,1e-05
0.4823786870689149,83.12,17.0,256.0,1e-05
0.4739448140571072,83.23,18.0,256.0,1e-05
0.4752827024763557,83.39999999999999,19.0,256.0,1e-05
0.4665883191072257,83.6,20.0,256.0,1e-05
0.5473640219421144,81.35,1.0,256.0,0.0001
0.4740219858421641,83.42,2.0,256.0,0.0001
0.4424447452376602,84.58,3.0,256.0,0.0001
0.4252747906621095,84.88,4.0,256.0,0.0001
0.4081462699516563,85.55,5.0,256.0,0.0001
0.4042415382565966,85.57000000000001,6.0,256.0,0.0001
0.3862001408057607,86.22,7.0,256.0,0.0001
0.380781900066479,86.58,8.0,256.0,0.0001
0.3701944076901028,86.72,9.0,256.0,0.0001
0.367138238754242,86.88,10.0,256.0,0.0001
0.36328338390323,87.16000000000001,11.0,256.0,0.0001
0.3569962381367471,87.13,12.0,256.0,0.0001
0.3575408824120357,87.18,13.0,256.0,0.0001
0.3593820894409896,86.92,14.0,256.0,0.0001
0.3525925178057069,86.97,15.0,256.0,0.0001
0.340276839911558,87.79,16.0,256.0,0.0001
0.3404476371635297,87.76,17.0,256.0,0.0001
0.3316547272691301,88.14999999999999,18.0,256.0,0.0001
0.3307805521662827,88.27000000000001,19.0,256.0,0.0001
0.3286528987869335,88.48,20.0,256.0,0.0001
0.496836705097727,81.25,1.0,256.0,0.001
0.4062439141569623,85.26,2.0,256.0,0.001
0.3599404295918288,86.87,3.0,256.0,0.001
0.3704903101085857,86.83,4.0,256.0,0.001
0.3607326765443868,87.27000000000001,5.0,256.0,0.001
0.3373283310111161,88.0,6.0,256.0,0.001
0.3411392077423964,87.8,7.0,256.0,0.001
0.3291282817531543,88.64999999999999,8.0,256.0,0.001
0.3243670105744319,88.32,9.0,256.0,0.001
0.340924865548398,88.42999999999999,10.0,256.0,0.001
0.3336545306311291,88.59,11.0,256.0,0.001
0.3387800820504024,89.09,12.0,256.0,0.001
0.3578670720101162,87.71,13.0,256.0,0.001
0.3453790074226203,88.74,14.0,256.0,0.001
0.3356706680860489,89.16,15.0,256.0,0.001
0.359977304460896,88.75,16.0,256.0,0.001
0.3643597515810067,89.01,17.0,256.0,0.001
0.344684666865001,89.48,18.0,256.0,0.001
0.3658883289261988,89.42,19.0,256.0,0.001
0.3444380239601348,89.75,20.0,256.0,0.001
0.5478394100335753,81.33,1.0,256.0,0.01
0.4266964861541796,84.45,2.0,256.0,0.01
0.4123129674773307,85.24000000000001,3.0,256.0,0.01
0.4301777945202627,85.91,4.0,256.0,0.01
0.4343805072983359,84.57000000000001,5.0,256.0,0.01
0.4261536521326964,85.0,6.0,256.0,0.01
0.4168592549053727,85.91,7.0,256.0,0.01
0.4490641637402734,85.54,8.0,256.0,0.01
0.4246003710350413,85.61,9.0,256.0,0.01
0.4499152717981369,84.07,10.0,256.0,0.01
0.4178865868954142,86.83999999999999,11.0,256.0,0.01
0.4482323263481164,85.95,12.0,256.0,0.01
0.4159310975462008,86.02,13.0,256.0,0.01
0.4198588734599435,86.48,14.0,256.0,0.01
0.4607791679490144,85.27,15.0,256.0,0.01
0.4259237518925575,86.19,16.0,256.0,0.01
0.4718397924095202,85.02,17.0,256.0,0.01
0.4370136057874959,86.66,18.0,256.0,0.01
0.4358979017966112,85.9,19.0,256.0,0.01
0.4832748946300737,84.75,20.0,256.0,0.01
0.8978463251879261,67.80000000000001,1.0,512.0,1e-05
0.7024448009053613,75.38,2.0,512.0,1e-05
0.6209447027012042,78.42,3.0,512.0,1e-05
0.5781225239395336,79.86,4.0,512.0,1e-05
0.5460512826017513,81.05,5.0,512.0,1e-05
0.5271919039404316,81.73,6.0,512.0,1e-05
0.5079742125265158,82.39,7.0,512.0,1e-05
0.4965818233930381,82.84,8.0,512.0,1e-05
0.4898940966387463,82.74000000000001,9.0,512.0,1e-05
0.478321088537289,83.33,10.0,512.0,1e-05
0.4719189476625175,83.47,11.0,512.0,1e-05
0.4650797031487629,83.55,12.0,512.0,1e-05
